MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB7018055,1C,15,3.7V,4.2V,600,32,13.5±1.0,9.8±2,56.0±0.5,18.0±0.5,6.7±0.3,7.5±0.5,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB7434096,2C,30,3.7V,4.2V,2300,80,50.5±1.5,2.2±0.4,97.0±0.5,34.0±0.5,7.0±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
LFP8534096,2C,20,3.2V,3.65V,2100,64,51.5±2.0,3.5±1.8,97.0±0.5,33.5±0.5,8.2±0.3,16±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
LFP7434096,2C,20,3.2V,3.65V,1800,64,44.5±1.5,3.8±2.0,96.5±0.5,33.5±0.5,7.1±0.3,16±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
LFP7035062,1C,20,3.2V,3.65V,1100,64,27.5±1.5,5.3±2.7,63.0±0.5,35.0±0.5,6.7±0.3,16±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
LFP6830048,1C,20,3.2V,3.65V,650,48,16.5±1.5,8.3±4.2,50.0±0.5,30.0±0.5,6.6±0.2,14±1,LiFePO4,10.0±1.0,6,0.2,5.0±0.2,
LFP4635062,1C,20,3.2V,3.65V,650,48,17.0±1.5,8.3±4.2,62.5±0.5,35.0±0.5,4.4±0.2,16±1,LiFePO4,10.0±1.0,6,0.2,5.0±0.2,
LFP4634096,1C,20,3.2V,3.65V,1050,64,27.0±1.5,6.0±3.0,96.5±0.5,34.0±0.5,4.4±0.2,16±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
LFP8149092,2C,25,3.2V,3.65V,2500,120,67.0±2.5,2.5±0.5,92.0±0.5,48.5±0.5,7.9±0.3,22±1,LiFePO4,10.0±1.0,15,0.2,5.0±0.2,
SLPB5330085,1C,15,3.7V,4.2V,1300,48,26.5±1.5,4.8±1.0,86.0±0.5,30.0±0.5,5.1±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8542126HV,10A,15,3.8V,4.35V,5200,96,95.0±3.0,1.5±0.3,127.0±0.5,42.0±0.5,8.0±0.3,21±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB9048150,10A,35,3.7V,4.2V,6300,120,141.5±3.0,1.1±0.2,150.0±0.5,48.0±0.5,8.7±0.3,25±1,LCO,37.0±1.0,15,0.2,5.0±0.2,
SLPB8024037,1C,15,3.7V,4.2V,600,32,12.7±1.0,9.9±2.0,37.5±0.5,24.0±0.5,7.7±0.3,12.5±1,LCO,10.0±1.0,4,0.2,3.4±0.2,
SLPB7834076,2C,15,3.7V,4.2V,2000,48,40.0±1.5,3.3±0.7,78.0±0.5,34.0±0.5,7.2±0.3,17±1,LCO,15.0±1.0,6,0.2,5.0±0.2,
SLPB6734096,2C,35,3.7V,4.2V,1800,80,42.5±1.5,2.3±0.5,96.5±0.5,33.5±0.5,6.4±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA142126,10A,30,3.7V,4.2V,5000,120,110.0±2.5,1.1±0.2,127.5±0.5,42.0±0.5,9.6±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8542126,2C,30,3.7V,4.2V,4200,120,93.5±2.5,1.2±0.2,127.0±0.5,42.0±0.5,8.1±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB6243128,2C,35,3.7V,4.2V,3000,96,69.5±2.0,1.5±0.3,128.0±0.5,43.0±0.5,5.9±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA742124,10A,35,3.7V,4.2V,5200,80,117.0±3.0,1.1±0.2,125.5±0.5,42.0±0.5,10.1±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
LFP5743058,1C,20,3.2V,3.65V,1000,64,25.5±1.5,6.0±3.0,60.0±0.5,43.5±0.5,5.5±0.2,21±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
LFP8570156,10A,20,3.2V,3.65V,7300,200,176.5±5.0,1.0±0.5,155.5±0.5,69.5±0.5,8.2±0.3,35±1,LiFePO4,10.0±1.0,25,0.2,8.3±0.2,
SLPB8542126,10A,15,3.7V,4.2V,5200,120,98.0±2.5,1.4±0.3,127.0±0.5,42.0±0.5,8.3±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7385186,10A,15,3.7V,4.2V,12500,160,243.0±5.0,0.9±0.2,186.0±1.0,84.5±1.0,6.9±0.3,30±1,LCO,20.0±1.0,20,0.2,8.3±0.2,
SLPB5720035,1C,10,3.7V,4.2V,320,12,7.0±0.5,23.3±4.7,36.0±0.5,20.0±0.5,5.5±0.2,8.5±0.5,LCO,17.0±1.0,3,0.1,4.0±0.2,
SLPB7234100,2C,15,3.7V,4.2V,2500,64,49.5±1.5,2.8±0.6,101.0±0.5,34.0±0.5,6.9±0.3,17±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB5616040,1C,15,3.7V,4.2V,290,8,6.5±0.5,23.5±4.7,40.5±0.5,16.0±0.5,5.4±0.2,6.5±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPB7342126,2C,20,3.7V,4.2V,4000,96,83.0±2.0,1.5±0.3,127.0±0.5,42.0±0.5,7.0±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6438064,1C,40,3.7V,4.2V,1200,96,29.5±1.5,2.2±0.4,65.0±0.5,38.0±0.5,6.1±0.2,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPB8038064,2C,40,3.7V,4.2V,1550,96,37.0±1.5,1.8±0.4,65.0±0.5,38.0±0.5,7.6±0.3,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPB5938064,1C,40,3.7V,4.2V,1100,96,27.5±1.5,2.2±0.4,65.0±0.5,38.5±0.5,5.7±0.2,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPB7038064,1C,40,3.7V,4.2V,1350,96,32.5±1.5,1.8±0.4,65.0±0.5,38.0±0.5,6.7±0.3,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPB7438064,1C,40,3.7V,4.2V,1450,96,35.0±1.5,1.7±0.3,65.0±0.5,38.0±0.5,7.1±0.3,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPB6230048,1C,35,3.7V,4.2V,720,48,17.0±1.0,3.6±0.7,49.5±0.5,30.0±0.5,6.0±0.2,14±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
SLPB6330048,1C,40,3.7V,4.2V,700,48,17.0±1.0,3.5±0.7,49.5±0.5,30.0±0.5,6.1±0.2,14±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
SLPB6518055,1C,30,3.7V,4.2V,520,32,12.0±1.0,5.0±1.0,55.0±0.5,18.0±0.5,6.3±0.2,7.5±0.5,LCO,18.0±1.0,4,0.2,4.0±0.2,
SLPB7938064,2C,40,3.7V,4.2V,1550,96,36.5±1.5,1.7±0.3,65.0±0.5,38.0±0.5,7.6±0.3,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPB6538064,1C,40,3.7V,4.2V,1250,80,30.0±1.5,1.8±0.4,65.0±0.5,38.0±0.5,6.3±0.2,18±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB6735062,1C,25,3.7V,4.2V,1250,80,27.5±1.5,2.5±0.5,63.0±0.5,35.0±0.5,6.4±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB6338064,1C,40,3.7V,4.2V,1200,80,29.5±1.5,2.2±0.4,65.0±0.5,38.0±0.5,6.1±0.2,18±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB6635062,1C,25,3.7V,4.2V,1250,80,27.5±1.5,2.5±0.5,63.0±0.5,35.0±0.5,6.4±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9038064,2C,40,3.7V,4.2V,1800,96,42.0±1.5,1.6±0.3,65.0±0.5,38.0±0.5,8.6±0.3,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
SLPB9938064,2C,40,3.7V,4.2V,2000,96,46.5±1.5,1.4±0.3,65.0±0.5,38.0±0.5,9.5±0.3,18±1,LCO,18.0±1.0,12,0.2,5.0±0.2,
LFP7443080,2C,20,3.2V,3.65V,1900,64,47.0±1.5,3.5±1.8,81.0±0.5,43.0±0.5,7.1±0.3,25±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
SLPB4916054HV,1C,25,3.8V,4.35V,330,32,7.5±1.0,10.0±2.0,56.0±0.5,16.5±0.5,4.7±0.2,7.5±0.5,LCO+NCM,10.0±1.0,4,0.2,5.0±0.2,
SLPB5316075HV,1C,25,3.8V,4.35V,530,32,11.5±1.0,8.0±2.0,75.0±0.5,16.5±0.5,5.1±0.2,7.5±0.5,LCO+NCM,10.0±1.0,4,0.2,4.0±0.2,
SLPB7430085,2C,15,3.7V,4.2V,2000,64,39.5±1.5,3.6±0.7,86.0±0.5,30.0±0.5,7.1±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8029078,1C,5,3.7V,4.2V,2000,48,35.5±1.5,5.0±1.0,77.0±0.5,28.5±0.5,7.7±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB5530085,1C,15,3.7V,4.2V,1400,64,28.5±1.5,4.6±0.9,86.0±0.5,30.5±0.5,5.3±0.2,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7235062,2C,15,3.7V,4.2V,1550,48,31.0±1.5,3.9±0.8,63.0±0.5,34.5±0.5,6.8±0.3,16±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB7130048,1C,20,3.7V,4.2V,850,48,18.5±1.0,5.7±1.1,49.5±0.5,30.0±0.5,6.6±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8242126,10A,15,3.7V,4.2V,5000,96,96.5±2.5,1.6±0.3,127.5±0.5,42.0±0.5,7.9±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7630048,1C,35,3.7V,4.2V,850,64,21.0±1.5,3.6±0.7,50.0±0.5,30.0±0.5,7.2±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8434096,2C,30,3.7V,4.2V,2400,80,54.0±1.5,2.0±0.4,97.0±0.5,33.5±0.5,8.0±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB4819160,1C,15,3.7V,4.2V,1300,32,27.0±1.5,5.7±1.1,159.5±0.5,19.0±0.5,4.3±0.2,9±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPBA542124,10A,30,3.7V,4.2V,5800,120,123.0±3.0,1.1±0.2,125.5±0.5,42.0±0.5,10.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA942126HV,10A,8,3.8V,4.35V,7600,80,122.0±3.0,1.7±0.3,127.5±0.5,42.0±0.5,10.5±0.3,18±1,LCO+NCM,10.0±1.0,10,0.2,5.0±0.2,
SLPB9146143,1C,3,3.7V,4.2V,8000,80,133.0±3.0,1.9±0.4,144.0±0.5,46.0±0.5,8.8±0.3,23±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB4634096,1C,35,3.7V,4.2V,1200,64,29.0±1.5,3.4±0.7,96.5±0.5,34.0±0.5,4.4±0.2,15±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8734106,2C,35,3.7V,4.2V,2650,80,62.5±2.0,1.6±0.3,106.0±0.5,34.0±0.5,8.4±0.3,17±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB9034096,2C,30,3.7V,4.2V,2600,80,58.0±1.5,1.9±0.4,97.5±0.5,33.5±0.5,8.6±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB6434096,2C,30,3.7V,4.2V,1800,64,41.5±1.5,2.4±0.5,96.5±0.5,34.0±0.5,6.2±0.2,16±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB8343128,2C,35,3.7V,4.2V,4000,96,92.5±2.0,1.2±0.2,128.0±0.5,43.0±0.5,7.9±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7443128,2C,35,3.7V,4.2V,3500,96,81.5±2.0,1.3±0.3,128.0±0.5,43.0±0.5,6.9±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7230048,1C,30,3.7V,4.2V,850,64,19.5±1.5,5.1±1,50.0±0.5,30.0±0.5,6.9±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB7034096,2C,30,3.7V,4.2V,2100,80,46.5±1.5,2.4±0.5,97.0±0.5,33.5±0.5,6.7±0.3,16.0±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBB042126HV,10A,8,3.8V,4.35V,7700,80,130.0±3.0,1.7±0.3,127.5±0.5,42.0±0.5,10.7±0.3,21±1,LCO+NCM,10.0±1.0,10,0.2,5.0±0.2,
SLPB9542124,10A,15,3.7V,4.2V,5700,120,111.0±2.5,1.5±0.3,125.5±0.5,42.0±0.5,9.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9542124HV,10A,15,3.8V,4.35V,5950,120,105.0±3.0,1.3±0.3,125.5±0.5,42.0±0.5,9.2±0.3,21±1,LCO+NCM,10.0±1.0,15,0.2,5.0±0.2,
SLPB9956117,10A,15,3.7V,4.2V,7400,120,141.5±3.0,1.1±0.2,116.5±0.5,56.0±0.5,9.6±0.3,28±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8463069,1C,5,3.7V,4.2V,4500,96,77.0±2.0,2.7±0.5,70.0±0.5,62.5±0.5,8.1±0.3,30±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8447087HV,1C,5,3.8V,4.35V,4300,96,71.5±2.0,2.9±0.6,87.0±0.5,47.0±0.5,8.1±0.3,22±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB9477080,1C,3,3.7V,4.2V,7000,96,117.5±2.5,2.0±0.4,79.5±0.5,77.0±0.5,9.1±0.3,36±1,LCO,10.0±1.0,12,0.2,8.3±0.2,
SLPBA842126HV,10A,15,3.8V,4.35V,6950,96,123.0±3.0,1.4±0.3,127.5±0.5,42.0±0.5,10.3±0.3,18±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB8145150,10A,35,3.7V,4.2V,5000,120,114.5±2.5,1.1±0.2,150.0±0.5,45.0±0.5,7.8±0.3,22±1,LCO,12.0±1.0,15,0.2,5.0±0.2,
SLPB7734096,2C,30,3.7V,4.2V,2200,80,49.0±1.5,2.1±0.4,97.0±0.5,33.5±0.5,7.3±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB7042126,2C,20,3.7V,4.2V,3700,96,77.5±2.0,1.6±0.3,127.0±0.5,42.0±0.5,6.6±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7430085,2C,30,3.7V,4.2V,1600,64,36.5±1.5,2.7±0.5,86.0±0.5,30.0±0.5,7.0±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB9675175,10A,20,3.7V,4.2V,14000,200,267.0±5.0,0.6±0.2,174.0±1.0,74.5±1.0,9.3±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB8895183,10A,15,3.7V,4.2V,18000,200,329.0±5.0,0.7±0.2,182.5±0.5,95.0±0.5,8.4±0.3,45±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB6661064,1C,3,3.7V,4.2V,3100,48,53.5±1.5,3.8±0.8,65.0±0.5,61.0±0.5,6.4±0.2,42±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB8849096,1C,5,3.7V,4.2V,4900,80,85.0±2.0,2.5±0.5,96.0±0.5,49.0±0.5,8.3±0.3,25±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA342124,10A,30,3.7V,4.2V,5000,80,111.0±2.5,1.1±0.2,125.5±0.5,42.0±0.5,9.9±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8743128,2C,35,3.7V,4.2V,4300,120,99.5±2.5,1.2±0.2,128.0±0.5,43.0±0.5,8.4±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8034096,2C,35,3.7V,4.2V,2200,80,51.5±1.5,2.0±0.4,97.0±0.5,33.5±0.5,7.6±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPBA142126,10A,20,3.7V,4.2V,5700,96,117.0±2.5,1.2±0.2,127.5±0.5,42.0±0.5,9.8±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8442124,10A,15,3.7V,4.2V,5000,96,96.0±2.5,1.6±0.3,125.0±0.5,42.0±0.5,8.1±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6942126,2C,30,3.7V,4.2V,3500,96,78.0±2.0,1.4±0.3,127.0±0.5,42.0±0.5,6.7±0.2,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9742124,2C,25,3.7V,4.2V,4800,80,103.0±2.5,1.3±0.3,125.5±0.5,42.0±0.5,9.2±0.3,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8442126,2C,35,3.7V,4.2V,4000,120,92.5±2.5,1.3±0.3,127.0±0.5,42.0±0.5,8.1±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB9145150,10A,30,3.7V,4.2V,5800,120,127.0±3.0,1.0±0.3,150.5±0.5,45.0±0.5,8.7±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7245135,2C,30,3.7V,4.2V,4000,120,89.0±2.0,1.3±0.3,135.0±0.5,44.5±0.5,6.8±0.3,20±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8445150,10A,30,3.7V,4.2V,5300,120,116.0±2.5,1.0±0.3,150.0±0.5,45.0±0.5,7.9±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7945135,2C,30,3.7V,4.2V,4400,120,97.5±2.5,1.2±0.2,135.0±0.5,44.5±0.5,7.4±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7743128,2C,35,3.7V,4.2V,3700,120,85.5±2.0,1.3±0.3,128.0±0.5,43.0±0.5,7.2±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7243128,2C,30,3.7V,4.2V,3600,96,80.5±2.0,1.3±0.3,128.0±0.5,43.0±0.5,6.9±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB7245150,10A,20,3.7V,4.2V,5000,96,105.0±2.5,1.4±0.3,150.0±0.5,45.0±0.5,6.9±0.3,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6243128,2C,30,3.7V,4.2V,3000,96,67.5±2.0,1.8±0.4,128.0±0.5,43.0±0.5,5.9±0.2,20±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB5920122,1C,15,3.7V,4.2V,1400,32,28.5±1.5,5.8±1.2,117.0±0.5,20.0±0.5,5.7±0.2,10±1,LCO,10.0±1.0,4,0.2,5.0±0.2,
SLPB8750140,10A,10,3.7V,4.2V,7150,96,133.5±3.0,1.4±0.3,140.0±0.5,50.0±0.5,8.4±0.3,28±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB8346143,10A,15,3.7V,4.2V,6300,120,119.0±3.0,1.3±0.3,144.0±0.5,46.0±0.5,7.9±0.3,23±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
LFP5549092,2C,20,3.2V,3.65V,1650,64,45.0±2.0,5.0±3.0,92.5±0.5,49.5±0.5,5.2±0.2,25±1,LiFePO4,10.0±1.0,8,0.2,5.0±0.2,
LFP6364074,2C,20,3.2V,3.65V,2000,80,52.5±2.0,3.5±3.0,74.5±0.5,64.0±0.5,6.0±0.2,34±1,LiFePO4,10.0±1.0,10,0.2,5.0±0.2,
SLPBA642126,10A,15,3.7V,4.2V,6600,96,126.0±3.0,1.2±0.2,127.5±0.5,42.0±0.5,10.3±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA542126,10A,15,3.7V,4.2V,6600,96,126.0±3.0,1.2±0.2,127.5±0.5,42.0±0.5,10.3±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA442126,10A,15,3.7V,4.2V,6600,96,126.0±3.0,1.2±0.2,127.5±0.5,42.0±0.5,10.3±0.3,21±1,LCO,37.0±1.0,12,0.2,5.0±0.2,
SLPBA342126,10A,15,3.7V,4.2V,6600,96,126.0±3.0,1.2±0.2,127.5±0.5,42.0±0.5,10.3±0.3,21±1,LCO,37.0±1.0,12,0.2,5.0±0.2,
SLPB8245150,10A,30,3.7V,4.2V,5600,120,121.0±2.5,1.1±0.2,150.0±0.5,45.0±0.5,7.9±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8045135,2C,30,3.7V,4.2V,4500,120,99.5±2.5,1.2±0.2,135.0±0.5,45.0±0.5,7.7±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8045150,10A,30,3.7V,4.2V,5000,120,110.0±2.5,1.1±0.2,150.0±0.5,45.0±0.5,7.5±0.3,22±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB8043128,2C,30,3.7V,4.2V,4000,120,88.5±2.0,1.2±0.2,128.0±0.5,43.0±0.5,7.5±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
LFP8167100,2C,20,3.2V,3.65V,4100,96,100.0±2.0,1.8±1.0,100.0±0.5,67.0±0.5,7.7±0.3,36±1,LiFePO4,10.0±1.0,12,0.2,5.0±0.2,
SLPB9182078,10A,15,3.7V,4.2V,6100,120,117.5±2.5,1.7±0.3,77.5±0.5,82.0±0.5,8.8±0.3,41±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB4616185,1C,20,3.7V,4.2V,1300,32,28.5±1.5,5.4±1.1,184.5±0.5,16.0±0.5,4.4±0.2,7.25±0.25,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB8316110,1C,20,3.7V,4.2V,1450,32,30.0±1.5,4.0±0.8,110.0±0.5,16.0±0.5,8.0±0.3,7.25±0.25,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB5465086,2C,40,3.7V,4.2V,2350,120,60.0±2.0,1.8±0.4,87.0±0.5,65.0±0.5,5.2±0.2,23±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7859098,10A,10,3.7V,4.2V,5300,96,99.0±2.5,2.1±0.4,99.0±0.5,58.5±0.5,7.5±0.3,30±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB9064159,10A,15,3.7V,4.2V,10000,160,192.0±3.0,1.1±0.2,158.5±0.5,64.0±0.5,8.7±0.3,29±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPBA875175,10A,15,3.7V,4.2V,16700,200,306.0±5.0,0.7±0.2,174.0±1.0,74.5±0.5,10.5±0.3,38±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB9544124,10A,20,3.7V,4.2V,5900,120,112.5±2.5,1.3±0.3,125.0±0.5,43.0±0.5,9.2±0.3,21±1,LCO,37.0±1.0,15,0.2,5.0±0.2,
SLPBA442126,10A,10,3.7V,4.2V,6800,120,125.0±2.5,1.6±0.3,127.5±0.5,42.0±0.5,10.1±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB5830048,1C,40,3.7V,4.2V,600,64,16.5±1.0,4.2±0.8,49.5±0.5,30.5±0.5,5.6±0.2,14±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB6056086,2C,15,3.7V,4.2V,3200,96,63.0±2.0,2.2±0.4,87.5±0.5,56.5±0.5,5.8±0.2,26±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPBA444124,10A,20,3.7V,4.2V,6350,120,123.5±2.5,1.2±0.2,125.0±0.5,43.0±0.5,10.1±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPBA744120,10A,30,3.7V,4.2V,6050,120,121.5±2.5,0.9±0.2,120.0±0.5,44.0±0.5,10.3±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
SLPB7164159HV,10A,15,3.8V,4.35V,8000,160,150.0±5.0,0.9±0.3,158.5±0.5,64.0±0.5,6.8±0.3,29±1,LCO+NCM,10.0±1.0,20,0.2,8.3±0.2,
SLPB5329046,1C,15,3.7V,4.2V,600,48,12.5±1.0,9.5±2.0,46.0±0.5,29.0±0.5,5.1±0.2,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBA068070HV,1C,5,3.8V,4.35V,6000,120,95.0±3.0,2.2±0.4,70.5±0.5,67.5±0.5,9.7±0.3,35±1,LCO+NCM,10.0±1.0,15,0.2,5.0±0.2,
SLPB7667104,10A,20,3.7V,4.2V,5400,120,109.5±2.5,1.3±0.3,103.5±0.5,67.0±0.5,7.3±0.3,36±1,LCO,10.0±1.0,15,0.2,8.3±0.2,
SLPB8840078,1C,5,3.7V,4.2V,3400,80,58.5±1.5,3.7±0.7,79.0±0.5,39.5±0.5,8.5±0.3,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8234096,2C,15,3.7V,4.2V,3000,80,58.5±1.5,2.4±0.5,97.0±0.5,34.0±0.5,7.9±0.3,17.5±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8934096,2C,15,3.7V,4.2V,3300,80,63.5±2.0,2.2±0.4,97.5±0.5,34.0±0.5,8.6±0.3,17.5±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8530060,2C,10,3.7V,4.2V,1650,48,31.5±1.5,4.3±0.9,62.0±0.5,29.5±0.5,8.2±0.3,14±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPBB043078,2C,8,3.7V,4.2V,4300,80,77.0±2.0,2.5±0.5,78.0±0.5,43.0±0.5,10.7±0.3,21±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8795183,10A,15,3.7V,4.2V,18000,200,327.0±5.0,0.7±0.2,182.5±0.5,95.0±0.5,8.4±0.3,45±1,LCO,10.0±1.0,25,0.2,8.3±0.2,
SLPB4432115,1C,40,3.7V,4.2V,1350,64,32.5±1.5,2.5±0.5,115.5±0.5,32.5±0.5,4.2±0.2,16±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB7583145,10A,8,3.7V,4.2V,10500,160,191.0±5.0,0.9±0.3,144.5±0.5,83.0±0.5,7.2±0.3,40±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB9242126,10A,35,3.7V,4.2V,5000,120,109.0±2.5,1.1±0.2,127.5±0.5,42.0±0.5,8.9±0.3,21±1,LCO,10.0±1.0,15,0.2,5.0±0.2,
