MELASTA Melasta High Drain Type LiPo & LiFePO4 Battery Model List (Version 2019) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Cell Model No.,Max Continuous Charge Rate,Max Continuous Discharge Rate,Nominal Voltage,Charge Voltage,Capacity,The Max Discharge Current of the Tabs,Weight,Impedance, Cells' Dimensions (mm),,,Distance between Two Tabs,Cell Material,Standard Size of Tabs (mm),,,Sealing Width (mm),
,( C ),( C ),(V),(V),(mAh),(A),(g),（mΩ),L,W,T,(mm),,L1,W,T,H,
SLPB6016075,1C,40,3.7V,4.2V,550,32,13.8±1.0,4.7±0.9,75.0±0.5,16.5±0.5,5.8±0.2,7.75±0.25,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB5930060,1C,15,3.7V,4.2V,1000,48,20.5±1.5,6.1±1.2,62.0±0.5,30.0±0.5,5.7±0.2,13±1,LCO,10.0±1.0,6,0.2,5.0±0.2,
SLPB9275170,10A,15,3.7V,4.2V,12000,200,239.0±5.0,0.9±0.2,169.0±1.0,74.0±1.0,9.0±0.3,34±1,LCO,10.0±1.0,25,0.2,15.0±0.2,
LFP6065132,1C,5,3.2V,3.65V,4000,40,93.0±2.5,2.7±0.8,130.0±0.5,63.0±0.5,5.8±0.2,30±1,LiFePO4,10.0±1.0,10,0.1,5.0±0.2,
SLPB7935062,2C,25,3.7V,4.2V,1600,80,35.0±1.5,3.0±0.6,63.0±0.5,34.5±0.5,7.6±0.3,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB7235062,1C,35,3.7V,4.2V,1300,80,31.0±1.5,2.5±0.5,63.0±0.5,34.5±0.5,7.0±0.3,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB8642126,2C,20,3.7V,4.2V,4800,96,98.5±2.5,1.4±0.3,127.0±0.5,42.0±0.5,8.3±0.3,21±1,LCO,10.0±1.0,12,0.2,5.0±0.2,
SLPB6835062,1C,25,3.7V,4.2V,1300,80,29.5±1.5,3.6±0.7,63.0±0.5,34.5±0.5,6.5±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB5535062,1C,25,3.7V,4.2V,1000,80,23.0±1.5,4.6±0.9,62.5±0.5,35.0±0.5,5.3±0.2,16±1,LCO,18.0±1.0,10,0.2,5.0±0.2,
SLPB5742126,2C,30,3.7V,4.2V,2700,80,61.0±2.0,1.7±0.3,126.5±0.5,41.5±0.5,5.5±0.2,16±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
SLPB8365146,10A,10,3.7V,4.2V,9700,144,171.0±3.0,1.1±0.2,145.5±1.0,64.5±1.0,7.9±0.3,30±1,LCO,18.0±1.0,18,0.2,5.0±0.2,
SLPB9535062HV,2C,40,3.8V,4.35V,1650,80,39.0±1.5,1.8±0.4,63.0±0.5,35.0±0.5,9.1±0.3,16±1,LCO+NCM,18.0±1.0,10,0.2,5.0±0.2,
SLPB8135062HV,1C,40,3.8V,4.35V,1400,80,33.0±1.5,2.0±0.4,63.0±0.5,35.0±0.5,7.7±0.3,16±1,LCO+NCM,18.0±1.0,10,0.2,5.0±0.2,
SLPBA1C0185,10A,8,3.7V,4.2V,27500,200,488.0±10.0,0.5±0.2,184.0±1.0,119.0±1.0,9.8±0.3,50±1,LCO,20.0±1.0,25,0.2,8.3±0.2,
SLPB6618055,1C,15,3.7V,4.2V,600,32,12.5±1.0,9.2±1.8,55.0±0.5,18.0±0.5,6.4±0.2,7.5±0.5,LCO,10.0±1.0,4,0.2,4.0±0.2,
SLPB6930048,1C,20,3.7V,4.2V,850,48,18.5±1.5,5.7±1.1,49.5±0.5,30.0±0.5,6.7±0.2,14±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
SLPB6830048,1C,30,3.7V,4.2V,850,64,19.5±1.5,5.0±1.0,49.5±0.5,30.0±0.5,6.6±0.2,14±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB6830048,1C,20,3.7V,4.2V,850,48,18.5±1.5,5.7±1.1,49.5±0.5,30.0±0.5,6.6±0.2,14±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
SLPB5333051,1C,20,3.7V,4.2V,850,48,18.0±1.5,6.0±1.2,53.0±0.5,33.5±0.5,5.2±0.2,16±1,LCO,18.0±1.0,6,0.2,5.0±0.2,
LFP9068088,2C,25,3.2V,3.65V,3500,160,95.0±3.0,1.5±0.7,88.5±0.5,67.0±1.0,8.7±0.3,35±1,LiFePO4,18.0±1.0,20,0.2,8.3±0.2,
SLPB7564159,10A,20,3.7V,4.2V,7500,160,157.0±3.0,1.1±0.2,158.5±0.5,63.5±1.0,7.1±0.3,29±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB5030048,1C,25,3.7V,4.2V,600,64,14.0±1.5,7.1±1.4,49.5±0.5,30.5±0.5,4.8±0.2,14±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB7430048,1C,35,3.7V,4.2V,850,64,20.5±1.5,3.6±0.7,50.0±0.5,30.0±0.5,7.1±0.3,14±1,LCO,18.0±1.0,8,0.2,5.0±0.2,
SLPB7250115HV,10A,10,3.8V,4.35V,5200,96,88.0±3.0,1.8±0.4,116.0±0.5,50.0±0.5,6.9±0.3,23±1,LCO+NCM,10.0±1.0,12,0.2,5.0±0.2,
SLPB7634066,1C,40,3.7V,4.2V,1350,80,31.6±1.0,2.5±0.5,66.0±0.5,33.5±0.5,7.3±0.3,17±1,LCO,18.0±1.0,10,0.2,4.0±0.2,
SLPB9190190,1C,5,3.7V,4.2V,20000,160,341.0±5.0,0.8±0.2,189.0±1.0,89.0±1.0,8.8±0.3,35±1,LCO,10.0±1.0,20,0.2,8.3±0.2,
SLPB5642080,2C,15,3.7V,4.2V,2050,64,40.5±1.5,3.7±0.7,80.0±0.5,42.0±0.5,5.4±0.2,19±1,LCO,10.0±1.0,8,0.2,3.2±0.2,
SLPB4613040,1C,20,3.7V,4.2V,160,8,3.9±0.3,28.0±5.6,40.0±0.5,13.0±0.5,4.4±0.2,5.5±0.5,LCO,17.0±1.0,2,0.1,4.0±0.2,
SLPBA149040,1C,35,3.7V,4.2V,1450,120,33.0±1.5,2.4±0.5,40.0±0.5,49.0±0.5,9.7±0.3,25±1,LCO,20.0±1.0,15,0.2,5.0±0.2,
SLPB8949040,1C,35,3.7V,4.2V,1300,120,30.0±1.5,2.5±0.5,40.0±0.5,49.0±0.5,8.5±0.3,25±1,LCO,18.0±1.0,15,0.2,5.0±0.2,
SLPB8659156,10A,30,3.7V,4.2V,8000,160,168.0±3.0,0.8±0.2,156.0±0.5,58.5±0.5,8.2±0.3,29±1,LCO,10.0±1.0,20,0.2,5.0±0.2,
SLPBA429078,2C,30,3.7V,4.2V,2000,64,44.5±1.5,2.5±0.5,77.5±0.5,28.5±0.5,9.9±0.3,14±1,LCO,10.0±1.0,8,0.2,5.0±0.2,
SLPB6438115,2C,30,3.7V,4.2V,2700,80,58.5±2.0,2.1±0.4,116.0±0.5,38.0±0.5,5.9±0.2,18±1,LCO,10.0±1.0,10,0.2,5.0±0.2,
LFP9870170,1C,1,3.2V,3.65V,10000,40,209.0±5.0,3.2±2.0,170.0±1.0,69.0±1.0,8.7±0.3,36±1,LiFePO4,10.0±1.0,10,0.1,5.0±0.2,
