Sun_Teeth,Earth_Teeth,Moon_Teeth,Ring_Teeth,Overall_Ratio,DP,Ring_Pitch_Dia,Ring_OD,Carrier_Dia,Safety_Factor
18,43,26,87,8.99358974358974,20,4.35,4.45,3.05,4.74301906779661
18,44,22,84,10.3333333333333,20,4.2,4.3,3.1,4.74301906779661
18,44,25,87,9.50666666666667,20,4.35,4.45,3.1,4.74301906779661
18,45,24,87,10.0625,20,4.35,4.45,3.15,4.74301906779661
18,46,23,87,10.6666666666667,20,4.35,4.45,3.2,4.74301906779661
18,46,26,90,9.84615384615385,20,4.5,4.6,3.2,4.74301906779661
18,47,22,87,11.3257575757576,20,4.35,4.45,3.25,4.74301906779661
18,47,25,90,10.4,20,4.5,4.6,3.25,4.74301906779661
18,48,24,90,11,20,4.5,4.6,3.3,4.74301906779661
18,49,23,90,11.6521739130435,20,4.5,4.6,3.35,4.74301906779661
18,49,26,93,10.7371794871795,20,4.65,4.75,3.35,4.74301906779661
18,50,22,90,12.3636363636364,20,4.5,4.6,3.4,4.74301906779661
18,50,25,93,11.3333333333333,20,4.65,4.75,3.4,4.74301906779661
17,40,22,79,9.44919786096257,20,3.95,4.05,2.85,4.39253707627119
17,40,25,82,8.71764705882353,20,4.1,4.2,2.85,4.39253707627119
17,41,24,82,9.24019607843137,20,4.1,4.2,2.9,4.39253707627119
17,42,23,82,9.80818414322251,20,4.1,4.2,2.95,4.39253707627119
17,42,26,85,9.07692307692308,20,4.25,4.35,2.95,4.39253707627119
17,43,22,82,10.427807486631,20,4.1,4.2,3,4.39253707627119
17,43,25,85,9.6,20,4.25,4.35,3,4.39253707627119
17,44,24,85,10.1666666666667,20,4.25,4.35,3.05,4.39253707627119
17,45,23,85,10.7826086956522,20,4.25,4.35,3.1,4.39253707627119
17,45,26,88,9.95927601809955,20,4.4,4.5,3.1,4.39253707627119
17,46,22,85,11.4545454545455,20,4.25,4.35,3.15,4.39253707627119
17,46,25,88,10.5247058823529,20,4.4,4.5,3.15,4.39253707627119
17,47,24,88,11.1372549019608,20,4.4,4.5,3.2,4.39253707627119
17,48,23,88,11.8030690537084,20,4.4,4.5,3.25,4.39253707627119
17,48,26,91,10.8823529411765,20,4.55,4.65,3.25,4.39253707627119
17,49,22,88,12.5294117647059,20,4.4,4.5,3.3,4.39253707627119
17,49,25,91,11.4917647058824,20,4.55,4.65,3.3,4.39253707627119
17,50,24,91,12.1519607843137,20,4.55,4.65,3.35,4.39253707627119
16,40,24,80,9.33333333333333,20,4,4.1,2.8,4.03864406779661
16,41,23,80,9.91304347826087,20,4,4.1,2.85,4.03864406779661
16,41,26,83,9.18028846153846,20,4.15,4.25,2.85,4.03864406779661
16,42,22,80,10.5454545454545,20,4,4.1,2.9,4.03864406779661
16,42,25,83,9.715,20,4.15,4.25,2.9,4.03864406779661
16,43,24,83,10.2942708333333,20,4.15,4.25,2.95,4.03864406779661
16,44,23,83,10.9239130434783,20,4.15,4.25,3,4.03864406779661
16,44,26,86,10.0961538461538,20,4.3,4.4,3,4.03864406779661
16,45,22,83,11.6107954545455,20,4.15,4.25,3.05,4.03864406779661
16,45,25,86,10.675,20,4.3,4.4,3.05,4.03864406779661
16,46,24,86,11.3020833333333,20,4.3,4.4,3.1,4.03864406779661
